symbol,date,feature,horizon,variant,n,rank_ic,ic,tstat,edge_bps,p_value
APP,2025-11-25,h8_disloc_lambda,300,lambda_elevated|binary,6,-0.2571428571428571,-0.2167730715321515,-0.5321811563901743,-7.3531253562702465,0.6486704610955516
APP,2025-11-25,h8_disloc_lambda,300,lambda_baseline|binary,2,,,,,
APP,2025-11-25,h8_disloc_lambda,300,lambda_contrast|primary,34,-0.037662900977438366,,-0.21320480998845506,,
APP,2025-12-01,ofi_ewma_zscore,300,count_window,107,0.03730215492097394,-0.01968686159201382,0.38249955222188853,,
APP,2025-12-01,ofi_ewma_zscore,300,horizon_window,80,-0.09383497421472105,-0.10684178204040376,-0.8324008011966262,,
APP,2025-12-01,micro_price_zscore,300,count_window,107,-0.07892004153686397,0.015323574616317438,-0.8112200164495023,,
APP,2025-12-01,micro_price_zscore,300,horizon_window,84,-0.09399615267793865,-0.0727492224955353,-0.8549566327422046,,
APP,2025-12-01,realized_vol_30s_zscore,300,count_window,107,-0.009761727304746724,-0.1048267777040125,-0.10003270532027633,,
APP,2025-12-01,realized_vol_30s_zscore,300,horizon_window,80,0.16106422878574778,-0.04711584890555923,1.4412984511591826,,
APP,2025-12-01,kyle_lambda_60s_zscore,300,count_window,107,-0.09129151805833993,-0.11794436488285108,-0.9393823536204551,,
APP,2025-12-01,kyle_lambda_60s_zscore,300,horizon_window,83,-0.1122958733890265,-0.11788734726454084,-1.0170961826052547,,
APP,2025-12-01,kyle_alignment,300,kyle_legacy_win,83,-0.018366147516896855,-0.06221533773713464,-0.16532321303458053,,
APP,2025-12-01,kyle_alignment,300,kyle_causal_win,83,-0.1122958733890265,-0.11788734726454084,-1.0170961826052547,,
APP,2025-12-01,ofi_kyle_input,300,ofi_ewma_zscore,80,-0.09383497421472105,-0.10684178204040376,-0.8324008011966262,-8.702264721217707,
APP,2025-12-01,ofi_kyle_input,300,ofi_integrated,80,0.041397093295827476,0.0007261410219769956,0.3659229075775058,9.73183145103546,
APP,2025-12-01,h8_disloc_lambda,300,lambda_elevated|incl,42,-0.1261648164654404,-0.09292997701013724,-0.8043637959463229,-0.030059919940492306,0.4282907743542888
APP,2025-12-01,h8_disloc_lambda,300,lambda_baseline|incl,39,0.04412955465587044,0.11254067241710035,0.2686913561751777,,0.7910484371176854
APP,2025-12-01,h8_disloc_lambda,300,lambda_elevated|primary,36,-0.10888030888030888,-0.08520454503035428,-0.6386728384311164,-3.426363737059902,0.5300307218050503
APP,2025-12-01,h8_disloc_lambda,300,lambda_baseline|primary,34,0.03529411764705882,0.08522530711622764,0.19977814746360806,,0.8441476242583322
APP,2025-12-01,h8_disloc_lambda,300,lambda_elevated|binary,2,,,,,
APP,2025-12-01,h8_disloc_lambda,300,lambda_baseline|binary,0,,,,,
APP,2025-12-01,h8_disloc_lambda,300,lambda_contrast|primary,34,-0.1441744265273677,,-0.8241845585860471,,
APP,2025-12-02,ofi_ewma_zscore,300,count_window,125,0.0992677077701171,-0.025986071220690694,1.106396893330948,,
APP,2025-12-02,ofi_ewma_zscore,300,horizon_window,89,0.13801498127340825,-0.014681127737065222,1.2997565315963313,,
APP,2025-12-02,micro_price_zscore,300,count_window,164,0.04146636086878739,0.010014168389151788,0.5282349438788083,,
APP,2025-12-02,micro_price_zscore,300,horizon_window,101,-0.062143273150844495,-0.0492555990678009,-0.6195151355391453,,
APP,2025-12-02,realized_vol_30s_zscore,300,count_window,126,-0.27711431689424115,-0.15084330091329923,-3.2115900807860625,,
APP,2025-12-02,realized_vol_30s_zscore,300,horizon_window,86,-0.32330770319354685,-0.3956281173562316,-3.131335911567142,,
APP,2025-12-02,kyle_lambda_60s_zscore,300,count_window,132,0.01737276449045321,0.021870952394850252,0.19810988970131757,,
APP,2025-12-02,kyle_lambda_60s_zscore,300,horizon_window,89,0.10234933605720123,0.06910142497739472,0.9596908527922287,,
APP,2025-12-02,kyle_alignment,300,kyle_legacy_win,89,-0.0035580524344569287,0.07831242838680434,-0.03318751382021051,,
APP,2025-12-02,kyle_alignment,300,kyle_causal_win,89,0.10234933605720123,0.06910142497739472,0.9596908527922287,,
APP,2025-12-02,ofi_kyle_input,300,ofi_ewma_zscore,89,0.13801498127340825,-0.014681127737065222,1.2997565315963313,-18.807234751382012,
APP,2025-12-02,ofi_kyle_input,300,ofi_integrated,92,0.06898571274447853,0.1312121175167999,0.6560188026082983,9.810020402750816,
APP,2025-12-02,h8_disloc_lambda,300,lambda_elevated|incl,49,0.2630612244897959,0.4428657759125646,1.869295070755225,34.20831337520528,0.06768148071440941
APP,2025-12-02,h8_disloc_lambda,300,lambda_baseline|incl,35,-0.20476190476190476,-0.20862360962541712,-1.201730072822104,,0.24002816433890004
APP,2025-12-02,h8_disloc_lambda,300,lambda_elevated|primary,40,0.3146341463414634,0.5490515896432847,2.0433086149188293,45.395801819905586,0.04758714202894189
APP,2025-12-02,h8_disloc_lambda,300,lambda_baseline|primary,31,-0.13548387096774195,-0.09976770011106384,-0.7363928457948626,,0.47069497835775476
APP,2025-12-02,h8_disloc_lambda,300,lambda_elevated|binary,1,,,,,
APP,2025-12-02,h8_disloc_lambda,300,lambda_baseline|binary,4,-0.4,0.04803191968106579,-0.6172133998483678,,0.6718218651836495
APP,2025-12-02,h8_disloc_lambda,300,lambda_contrast|primary,31,0.45011801730920536,,2.7144945679761108,,
APP,2025-12-04,ofi_ewma_zscore,300,count_window,122,0.0002254628575969939,0.09387809377672227,0.002469821922483819,,
APP,2025-12-04,ofi_ewma_zscore,300,horizon_window,91,0.084472049689441,0.09198517377806818,0.7997662080418655,,
APP,2025-12-04,micro_price_zscore,300,count_window,156,0.06659138198496017,0.12465900218849482,0.8282156831965389,,
APP,2025-12-04,micro_price_zscore,300,horizon_window,112,0.0649280759900229,0.08395082086785992,0.6824113304754,,
APP,2025-12-04,realized_vol_30s_zscore,300,count_window,122,0.05777422509959123,0.03162892716263934,0.63394381913844,,
APP,2025-12-04,realized_vol_30s_zscore,300,horizon_window,88,0.07033919199746398,0.046004683232959975,0.6539185019421394,,
